job_id,job_title,company,required_education,required_skills,min_experience_years,city,salary,preferred_certificates,job_description,city_normalized,required_skills_list,preferred_certs_list,full_text,tokens,clean_text,required_skills_standard
J001,数据分析实习生,某科技公司,本科,Python;SQL;数据分析;Excel,0,南昌,6000,英语四级,负责数据清洗、统计分析和报表制作,南昌,"['python', 'sql', '数据分析', 'excel']",['英语四级'],数据分析实习生 Python;SQL;数据分析;Excel 负责数据清洗、统计分析和报表制作,"[""实习生"", ""python"", ""sql"", ""excel"", ""数据"", ""清洗"", ""统计分析"", ""报表"", ""制作""]",实习生 python sql excel 数据 清洗 统计分析 报表 制作,python;sql;数据分析;excel
J002,大数据开发实习生,某互联网公司,本科,Java;Hadoop;Spark;SQL,0,南昌,7000,计算机二级,参与大数据平台开发和维护,南昌,"['java', 'hadoop', 'spark', 'sql']",['计算机二级'],大数据开发实习生 Java;Hadoop;Spark;SQL 参与大数据平台开发和维护,"[""数据"", ""实习生"", ""java"", ""hadoop"", ""spark"", ""sql"", ""数据"", ""平台""]",数据 实习生 java hadoop spark sql 数据 平台,java;hadoop;spark;sql
J003,Python开发工程师,某软件公司,本科,Python;Django/Flask;MySQL;Linux,1,北京,12000,,负责后端服务开发和数据库设计,北京,"['python', 'django/flask', 'mysql', 'linux']",[],Python开发工程师 Python;Django/Flask;MySQL;Linux 负责后端服务开发和数据库设计,"[""python"", ""工程师"", ""python"", ""django"", ""flask"", ""sql"", ""linux"", ""服务"", ""数据库""]",python 工程师 python django flask sql linux 服务 数据库,python;django;sql;linux
J004,机器学习实习生,某AI公司,硕士,Python;机器学习;深度学习;TensorFlow或PyTorch,0,北京,8000,英语六级,参与机器学习模型训练和部署,北京,"['python', '机器学习', '深度学习', 'tensorflow或pytorch']",['英语六级'],机器学习实习生 Python;机器学习;深度学习;TensorFlow或PyTorch 参与机器学习模型训练和部署,"[""机器"", ""学习"", ""实习生"", ""python"", ""机器"", ""学习"", ""深度"", ""学习"", ""tensorflow"", ""pytorch"", ""机器"", ""学习"", ""模型"", ""训练"", ""部署""]",机器 学习 实习生 python 机器 学习 深度 学习 tensorflow pytorch 机器 学习 模型 训练 部署,python;机器学习;深度学习;tensorflow
J005,Java后端工程师,某金融科技公司,本科,Java;Spring Boot;MySQL;Redis,2,上海,15000,英语四级,负责金融系统后端开发,上海,"['java', 'spring boot', 'mysql', 'redis']",['英语四级'],Java后端工程师 Java;Spring Boot;MySQL;Redis 负责金融系统后端开发,"[""java"", ""后端"", ""工程师"", ""java"", ""spring"", ""boot"", ""sql"", ""redis"", ""金融"", ""系统""]",java 后端 工程师 java spring boot sql redis 金融 系统,java;spring boot;sql;redis
J006,数据工程师,某电商平台,本科,SQL;Python;Spark;ETL;数据仓库,1,杭州,13000,,建设和维护数据仓库和ETL流程,杭州,"['sql', 'python', 'spark', 'etl', '数据仓库']",[],数据工程师 SQL;Python;Spark;ETL;数据仓库 建设和维护数据仓库和ETL流程,"[""数据"", ""工程师"", ""sql"", ""python"", ""spark"", ""etl"", ""数据仓库"", ""建设"", ""数据仓库"", ""etl"", ""流程""]",数据 工程师 sql python spark etl 数据仓库 建设 数据仓库 etl 流程,sql;python;spark;etl;数据仓库
J007,自然语言处理实习生,某研究院,硕士,Python;NLP;PyTorch;TensorFlow,0,北京,6000,英语六级,参与NLP算法研发和论文复现,北京,"['python', 'nlp', 'pytorch', 'tensorflow']",['英语六级'],自然语言处理实习生 Python;NLP;PyTorch;TensorFlow 参与NLP算法研发和论文复现,"[""自然语言"", ""处理"", ""实习生"", ""python"", ""nlp"", ""pytorch"", ""tensorflow"", ""nlp"", ""算法"", ""研发"", ""论文"", ""复现""]",自然语言 处理 实习生 python nlp pytorch tensorflow nlp 算法 研发 论文 复现,python;nlp;pytorch;tensorflow
J008,前端开发工程师,某互联网公司,本科,JavaScript;Vue/React;HTML;CSS,1,深圳,11000,,负责Web前端页面开发,深圳,"['javascript', 'vue/react', 'html', 'css']",[],前端开发工程师 JavaScript;Vue/React;HTML;CSS 负责Web前端页面开发,"[""前端开发"", ""工程师"", ""javascript"", ""vue"", ""react"", ""html"", ""css"", ""web"", ""前端"", ""页面""]",前端开发 工程师 javascript vue react html css web 前端 页面,javascript;vue;html;css
J009,数据分析师,某咨询公司,本科,SQL;Excel;Python;Tableau;数据分析,1,上海,10000,英语四级,为客户提供数据驱动的业务分析,上海,"['sql', 'excel', 'python', 'tableau', '数据分析']",['英语四级'],数据分析师 SQL;Excel;Python;Tableau;数据分析 为客户提供数据驱动的业务分析,"[""数据"", ""分析师"", ""sql"", ""excel"", ""python"", ""可视化"", ""客户"", ""提供数据"", ""驱动"", ""业务"", ""分析""]",数据 分析师 sql excel python 可视化 客户 提供数据 驱动 业务 分析,sql;excel;python;可视化;数据分析
J010,大数据运维工程师,某运营商,本科,Linux;Hadoop;Shell;Python,1,广州,9000,,负责大数据平台的运维和监控,广州,"['linux', 'hadoop', 'shell', 'python']",[],大数据运维工程师 Linux;Hadoop;Shell;Python 负责大数据平台的运维和监控,"[""数据"", ""运维"", ""工程师"", ""linux"", ""hadoop"", ""shell"", ""python"", ""数据"", ""平台"", ""维和"", ""监控""]",数据 运维 工程师 linux hadoop shell python 数据 平台 维和 监控,linux;hadoop;shell;python
