job_id,job_title,company,required_education,required_skills,min_experience_years,city,salary,preferred_certificates,job_description
J001,数据分析实习生,某科技公司,本科,Python;SQL;数据分析;Excel,0,南昌,6000,英语四级,负责数据清洗、统计分析和报表制作
J002,大数据开发实习生,某互联网公司,本科,Java;Hadoop;Spark;SQL,0,南昌,7000,计算机二级,参与大数据平台开发和维护
J003,Python开发工程师,某软件公司,本科,Python;Django/Flask;MySQL;Linux,1,北京,12000,,负责后端服务开发和数据库设计
J004,机器学习实习生,某AI公司,硕士,Python;机器学习;深度学习;TensorFlow或PyTorch,0,北京,8000,英语六级,参与机器学习模型训练和部署
J005,Java后端工程师,某金融科技公司,本科,Java;Spring Boot;MySQL;Redis,2,上海,15000,英语四级,负责金融系统后端开发
J006,数据工程师,某电商平台,本科,SQL;Python;Spark;ETL;数据仓库,1,杭州,13000,,建设和维护数据仓库和ETL流程
J007,自然语言处理实习生,某研究院,硕士,Python;NLP;PyTorch;TensorFlow,0,北京,6000,英语六级,参与NLP算法研发和论文复现
J008,前端开发工程师,某互联网公司,本科,JavaScript;Vue/React;HTML;CSS,1,深圳,11000,,负责Web前端页面开发
J009,数据分析师,某咨询公司,本科,SQL;Excel;Python;Tableau;数据分析,1,上海,10000,英语四级,为客户提供数据驱动的业务分析
J010,大数据运维工程师,某运营商,本科,Linux;Hadoop;Shell;Python,1,广州,9000,,负责大数据平台的运维和监控
J011,AI算法实习生,某科技公司,硕士,Python;机器学习;深度学习;CV或NLP,0,深圳,7000,英语六级,参与计算机视觉或自然语言处理项目
J012,数据分析岗,,本科,Excel;SQL;python,1,南昌,5000,,
